suite,task,arch,run_id,seed,lr,wd,dropout,optimizer,epochs,batch_size,n_train,n_test,metric_n,device,val_loss_ep6,val_acc_ep6,val_loss_ep12,val_acc_ep12,train_loss,train_acc,val_loss,final_acc,confidence_mean,entropy_mean,margin_mean,brier,ece,logit_norm_mean,metric_batch_acc,metric_batch_loss,feature_erank,feature_erank_norm,feature_norm_mean,feature_cosine_mean,weight_l2,weight_l1,weight_linf,weight_rms,distance_from_init_l2,relative_distance_from_init,update_to_weight_ratio,grad_norm,grad_l1,grad_linf,grad_mean_abs,fisher_trace,fisher_spectral,fisher_stable_rank,fisher_entropy,fim_erank,fim_norm,fisher_condition,grad_noise_scale,per_sample_grad_norm_mean,per_sample_grad_norm_std,sam_sharpness,asam_sharpness,hessian_error,random_metric,elapsed_s
text,char_lm,char_transformer,26,4749635,0.0003195211555427193,0.0007936602528114499,0.1,adamw,12,64,80000,12000,12,cuda,0.025151456594467162,0.9935086805555555,0.024290936039553748,0.9939470486111112,0.01398130925372243,0.9955037434895834,0.024290936039553748,0.9939470486111112,0.9963963627815247,0.01223649550229311,0.9954037070274353,0.003186722518876195,0.0015893622767180204,28.28286361694336,0.9973958134651184,0.008062328211963177,5.97397035462922,0.49783086288576833,3.4808061122894287,0.9900993704795837,156.8399200439453,51497.62890625,3.734368324279785,0.19854365289211273,43.627471923828125,0.289105087518692,0.2781656086444855,0.03763928264379501,12.778003692626953,0.007511585485190153,2.04754378501093e-05,0.014183161780238152,0.0042561921291053295,3.332359382913279,1.6681463718414307,5.302330137039719,0.4418608447533099,834544.8125,9.011298179626465,0.09008506685495377,0.0778963565826416,0.0019766828045248985,0.0028432849794626236,derivative for aten::_scaled_dot_product_efficient_attention_backward is not implemented,1.9609402418136597,230.67978286743164
text,char_lm,char_transformer,27,1216104,0.00020368617408749452,0.0007274944913498342,0.1,adamw,12,64,80000,12000,12,cuda,0.026936989294158088,0.9929704861111112,0.026086506909794277,0.9934027777777777,0.015009803387025991,0.9954427083333334,0.026086506909794277,0.9934027777777777,0.9959710240364075,0.014508379623293877,0.995012104511261,0.0047103227116167545,0.0016090510180220008,28.117509841918945,0.9956597089767456,0.01106145791709423,6.2160468376486495,0.5180039031373874,3.7792539596557617,0.9906699657440186,156.24671936035156,48737.5859375,4.160300254821777,0.19779333472251892,37.121856689453125,0.24493750929832458,0.23758487403392792,0.05648179352283478,23.011655807495117,0.005734698381274939,3.687381467898376e-05,0.033881381154060364,0.016330108046531677,2.074779974231805,1.5737746953964233,4.824825571722735,0.40206879764356124,6279969.0,9.6204833984375,0.1383618414402008,0.12139762938022614,0.003018905408680439,0.004137520678341389,derivative for aten::_scaled_dot_product_efficient_attention_backward is not implemented,-0.6037994027137756,230.11922788619995
text,char_lm,char_transformer,28,7349675,4.653748523195237e-05,6.769797815718201e-05,0.1,adamw,12,64,80000,12000,12,cuda,0.03752223794990116,0.990609375,0.027332835025257535,0.9930798611111111,0.01939916517585516,0.9940999348958334,0.027332835025257535,0.9930798611111111,0.9943970441818237,0.020306067541241646,0.9929895401000977,0.005540765821933746,0.002482031239196658,24.60951805114746,0.9947916865348816,0.014473767951130867,6.6761018850517875,0.5563418237543156,3.708876132965088,0.990686297416687,154.06884765625,45863.3046875,4.3503336906433105,0.19503699243068695,26.679412841796875,0.1758813112974167,0.17316552996635437,0.0636671632528305,28.957714080810547,0.005511240568011999,4.6401761210290715e-05,0.04634992405772209,0.010821794159710407,4.283016602367107,2.029439926147461,7.609823395964095,0.6341519496636746,223.08131408691406,10.434520721435547,0.19284768402576447,0.0957062765955925,0.003390948288142681,0.004220769740641117,derivative for aten::_scaled_dot_product_efficient_attention_backward is not implemented,2.2265684604644775,230.28971648216248
text,char_lm,char_transformer,29,4014497,9.829281776889987e-05,0.0001278966371558419,0.2,adamw,12,64,80000,12000,12,cuda,0.027924471729331546,0.9927838541666667,0.026068873352474636,0.9934149305555555,0.018902751927574474,0.9941609700520834,0.026068873352474636,0.9934149305555555,0.994757354259491,0.018864920362830162,0.9934970140457153,0.005151653196662664,0.0026304752100259066,27.8582763671875,0.9947916865348816,0.013419769704341888,4.505879403403072,0.37548995028358934,3.2520275115966797,0.9878688454627991,154.42080688476562,46497.2109375,4.475684642791748,0.19548280537128448,32.41804885864258,0.2143227756023407,0.20993316173553467,0.04953903704881668,19.16495132446289,0.0052441442385315895,3.070986349484883e-05,0.025116432458162308,0.005021010525524616,5.002266441282907,1.9856739044189453,7.283952905835221,0.6069960754862684,716.9833374023438,9.234414100646973,0.13792777061462402,0.07805365324020386,0.0025925952941179276,0.0036396030336618423,derivative for aten::_scaled_dot_product_efficient_attention_backward is not implemented,0.16316035389900208,230.2902455329895
text,char_lm,char_transformer,30,9683405,0.00044065011183911724,1.8608111213528278e-06,0.0,adamw,12,64,80000,12000,12,cuda,0.040025354418489666,0.9892621527777777,0.03359905432992511,0.9916675347222222,0.012117260678981742,0.9962361653645834,0.03359905432992511,0.9916675347222222,0.9965110421180725,0.01128994021564722,0.9952619671821594,0.0028333866503089666,0.002087988657876849,29.50086212158203,0.9982638955116272,0.006340140011161566,8.381369555863964,0.6984474629886637,4.162946701049805,0.9764442443847656,160.03672790527344,55325.3125,4.489156246185303,0.20258964598178864,48.03313446044922,0.31739312410354614,0.3001382052898407,0.04905068129301071,20.168212890625,0.006566997617483139,3.231748996768147e-05,0.024451814591884613,0.008102304302155972,3.017884008918334,1.6765520572662354,5.347087746162088,0.4455906455135073,2011487.5,9.162973403930664,0.11353495717048645,0.10752500593662262,0.002842665184289217,0.004376269411295652,derivative for aten::_scaled_dot_product_efficient_attention_backward is not implemented,-0.5251874327659607,214.7298460006714
text,char_lm,char_transformer,31,7781242,0.00018998777634148111,3.722078591549117e-05,0.0,adamw,12,64,80000,12000,12,cuda,0.04268752862347497,0.9891753472222222,0.04445964233080546,0.9891970486111111,0.013386012831081947,0.9959716796875,0.04445964233080546,0.9891970486111111,0.9968016743659973,0.011600351892411709,0.9960042238235474,0.0031349051278084517,0.0012165223015472293,26.065690994262695,0.9965277910232544,0.008112992160022259,8.780031816198065,0.7316693180165054,3.8263888359069824,0.9753629565238953,155.7130584716797,48374.3515625,3.961303472518921,0.1971174031496048,32.45088195800781,0.21325336396694183,0.20840179920196533,0.05356018990278244,23.73359489440918,0.005565362516790628,3.8030644645914435e-05,0.031072556972503662,0.012385927140712738,2.5086985105748747,1.420454978942871,4.139003073734246,0.3449169228111872,245587.640625,9.83160400390625,0.12084534019231796,0.12833142280578613,0.002772877924144268,0.0032559428364038467,derivative for aten::_scaled_dot_product_efficient_attention_backward is not implemented,-0.008765310980379581,214.34019804000854
text,char_lm,char_transformer,32,6410538,0.0009390072019819328,0.0008441267457239507,0.2,adamw,12,64,80000,12000,12,cuda,0.024808739748266008,0.9936050347222222,0.024789937317371367,0.9938967013888889,0.016037001584966976,0.9950764973958334,0.024789937317371367,0.9938967013888889,0.9954124093055725,0.015004873275756836,0.9941226243972778,0.0043220133520662785,0.0022385288029909134,35.68744659423828,0.9965277910232544,0.011660180054605007,3.2688553364037847,0.2724046113669821,4.081583023071289,0.9925861954689026,172.50628662109375,71218.2265625,4.29599142074585,0.21837249398231506,85.3546371459961,0.5598770976066589,0.4947914481163025,0.02060752548277378,5.291080474853516,0.004383650608360767,8.478412382828537e-06,0.004597657360136509,0.001022234559059143,4.497654002101537,1.8955328464508057,6.656095292381692,0.5546746076984743,79865344.0,9.826416015625,0.05664728209376335,0.037265852093696594,0.0010542208328843117,0.001779378391802311,derivative for aten::_scaled_dot_product_efficient_attention_backward is not implemented,-0.4398900270462036,229.79451990127563
text,char_lm,char_transformer,33,7478949,0.00011297079394267957,2.601243071565371e-06,0.2,adamw,12,64,80000,12000,12,cuda,0.02661597371763653,0.9931154513888889,0.02530439829826355,0.9934956597222222,0.01885695258776347,0.9944051106770834,0.02530439829826355,0.9934956597222222,0.9948051571846008,0.01856355555355549,0.9936466217041016,0.004759811796247959,0.00240260805003345,29.24249267578125,0.9956597089767456,0.012700363993644714,5.4401364400991,0.45334470334159166,3.4326586723327637,0.9891701936721802,154.33824157714844,46273.4375,3.9451262950897217,0.19537799060344696,33.253910064697266,0.22070926427841187,0.21546125411987305,0.049429845064878464,19.57176971435547,0.005447194445878267,3.136174927931279e-05,0.025736289098858833,0.005370020866394043,4.792586422731744,1.9928810596466064,7.336640478059894,0.6113867065049912,903.604248046875,9.53337574005127,0.13861429691314697,0.08076121658086777,0.0026250770315527916,0.0035290513187646866,derivative for aten::_scaled_dot_product_efficient_attention_backward is not implemented,0.0238384697586298,229.65475058555603
text,char_lm,char_transformer,34,7502410,0.0015139129130767631,0.0014412795469653128,0.2,adamw,12,64,80000,12000,12,cuda,0.026253520833121404,0.9935815972222222,0.024692455814944374,0.9938480902777778,0.016812150832265615,0.9948933919270834,0.024692455814944374,0.9938480902777778,0.995934784412384,0.014891457743942738,0.9950305223464966,0.003728791605681181,0.0019107823027297854,43.26105499267578,0.9965277910232544,0.010438446886837482,3.4123628452633943,0.2843635704386162,4.625669479370117,0.9951534271240234,192.114013671875,92458.5234375,5.134149551391602,0.24319227039813995,124.53036499023438,0.8260419964790344,0.6482107043266296,0.013493194244801998,3.267702102661133,0.0020322739146649837,5.236156539467629e-06,0.0018110604723915458,0.0004462707438506186,4.058210163423925,1.8226990699768066,6.188539597023245,0.5157116330852703,7486.8896484375,8.947259902954102,0.03551027923822403,0.02345380187034607,0.0006862785667181015,0.0015141358599066734,derivative for aten::_scaled_dot_product_efficient_attention_backward is not implemented,-0.27097567915916443,229.5336353778839
text,char_lm,char_transformer,35,6086952,0.00040726248396762263,0.00015344054408328664,0.2,adamw,12,64,80000,12000,12,cuda,0.025229589256975386,0.9934947916666667,0.025535602715280322,0.9937465277777778,0.016240976595630247,0.9950764973958334,0.025535602715280322,0.9937465277777778,0.9958704710006714,0.014412526041269302,0.9948168992996216,0.003948727622628212,0.0014803748345002532,31.149757385253906,0.9965277910232544,0.010579781606793404,4.448119650119985,0.37067663750999874,3.989239454269409,0.9913820624351501,159.98480224609375,53921.703125,4.641741752624512,0.20252391695976257,50.810577392578125,0.33254069089889526,0.31759628653526306,0.034927140921354294,9.966400146484375,0.007059471216052771,1.597013215359766e-05,0.011366277933120728,0.003179805353283882,3.574520030859092,1.7384555339813232,5.68855019707878,0.474045849756565,780946.4375,8.317349433898926,0.0844060555100441,0.065129853785038,0.00182318314909935,0.0023602163419127464,derivative for aten::_scaled_dot_product_efficient_attention_backward is not implemented,-1.0789592266082764,229.60826873779297
text,char_lm,char_transformer,36,5663810,0.0026132044080762157,1.5822028215968785e-05,0.1,adamw,12,64,80000,12000,12,cuda,0.024964678128560385,0.99359375,0.024569488717450037,0.9938559027777778,0.016445976216346025,0.99462890625,0.024569488717450037,0.9938559027777778,0.9956936240196228,0.014842982403934002,0.99452143907547,0.003978787921369076,0.0021078612189739943,52.28337860107422,0.9965277910232544,0.010458257049322128,3.346236796307058,0.2788530663589215,4.104772567749023,0.994087815284729,256.2809753417969,138642.953125,5.530384540557861,0.3244185745716095,202.8888397216797,1.342564582824707,0.7916656136512756,0.013917209580540657,2.5634560585021973,0.001794953946955502,4.107675067643868e-06,0.001850899658165872,0.0005827089189551771,3.1763709028312905,1.8254565000534058,6.205627569607214,0.5171356308006011,170631.984375,8.556058883666992,0.03437427431344986,0.02587100863456726,0.0007222555577754974,0.0019318591803312302,derivative for aten::_scaled_dot_product_efficient_attention_backward is not implemented,0.8063181042671204,229.4845643043518
text,char_lm,char_transformer,37,439738,3.8816035285591556e-05,0.001450429945588946,0.1,adamw,12,64,80000,12000,12,cuda,0.04179725047614839,0.9897760416666667,0.02744481329785453,0.9928932291666667,0.021418487497915823,0.9938151041666666,0.02744481329785453,0.9928932291666667,0.994121789932251,0.022204263135790825,0.9930418133735657,0.00566517561674118,0.002859001513570547,25.206613540649414,0.9956597089767456,0.014540751464664936,6.508113094111745,0.5423427578426454,3.626652479171753,0.9915362596511841,152.35494995117188,45313.734375,3.98642897605896,0.1928677260875702,25.586103439331055,0.16990728676319122,0.16793745756149292,0.06353211402893066,27.822494506835938,0.004805595614016056,4.4582688133232296e-05,0.03645690158009529,0.00792729202657938,4.598909874047809,2.0163567066192627,7.510909822734,0.6259091518945,333.1390686035156,8.032191276550293,0.17193825542926788,0.08303092420101166,0.0034087402746081352,0.004153170622885227,derivative for aten::_scaled_dot_product_efficient_attention_backward is not implemented,-0.8411985039710999,229.56397604942322
text,char_lm,char_transformer,38,9911152,0.0022681692403970317,6.384167217109798e-05,0.1,adamw,12,64,80000,12000,12,cuda,0.02475014775329166,0.9937430555555555,0.024225981533527376,0.9939600694444445,0.01601690597211321,0.9949747721354166,0.024225981533527376,0.9939600694444445,0.9960174560546875,0.013676620088517666,0.9949459433555603,0.004126816056668758,0.0018538107397034764,47.9467658996582,0.9956597089767456,0.011095375753939152,4.896257079385335,0.4080214232821113,4.173448085784912,0.9944337010383606,235.90695190429688,124254.015625,5.8620405197143555,0.29862773418426514,177.99049377441406,1.1843903064727783,0.7544944882392883,0.012413796037435532,2.4660212993621826,0.0025838506408035755,3.951545750169316e-06,0.0016401739558205009,0.00036258602631278336,4.523544296442542,1.8607734441757202,6.428706558124743,0.5357255465103953,115313.625,9.64340591430664,0.03291197121143341,0.023600347340106964,0.0006328048184514046,0.00161703210324049,derivative for aten::_scaled_dot_product_efficient_attention_backward is not implemented,-0.10770070552825928,229.95060920715332
text,char_lm,char_transformer,39,5325354,0.00013369257919807536,0.0005164117482799925,0.05,adamw,12,64,80000,12000,12,cuda,0.02835994462834464,0.9928680555555556,0.025591088963879478,0.9937326388888889,0.016028916618476313,0.9951578776041666,0.025591088963879478,0.9937326388888889,0.9954306483268738,0.01560242660343647,0.9940237402915955,0.0044712102971971035,0.002116127870976925,25.507701873779297,0.9956597089767456,0.01132071390748024,6.108611973955418,0.5090509978296182,3.5910329818725586,0.9849475622177124,154.38385009765625,47215.3828125,4.223667144775391,0.19543559849262238,31.860506057739258,0.2109045535326004,0.20637200772762299,0.05632094666361809,24.40676498413086,0.006740412674844265,3.910933082806878e-05,0.03259552642703056,0.0071573201566934586,4.554152351560434,1.9238579273223877,6.847323130715041,0.5706102608929201,23653.703125,9.275859832763672,0.1502760648727417,0.10006311535835266,0.00305906031280756,0.003947661258280277,derivative for aten::_scaled_dot_product_efficient_attention_backward is not implemented,-0.8327926397323608,229.87166547775269
text,char_lm,char_transformer,40,4474299,5.56639725623212e-05,0.0003972291492463673,0.0,adamw,12,64,80000,12000,12,cuda,0.0665506937901179,0.9817291666666667,0.06489583477046755,0.9828211805555556,0.01964468726267417,0.9940999348958334,0.06489583477046755,0.9828211805555556,0.9947952628135681,0.020114567130804062,0.9935944080352783,0.00468605337664485,0.0027480111457407475,22.014663696289062,0.9956597089767456,0.013631882146000862,8.048646847548309,0.6707205706290257,3.6511740684509277,0.9817536473274231,152.93118286132812,45573.9296875,4.013002872467041,0.19359652698040009,24.95675277709961,0.16512320935726166,0.16318942606449127,0.09106377512216568,44.88072967529297,0.006488172337412834,7.191675831563771e-05,0.07837747037410736,0.015486413612961769,5.061047207433888,2.073582887649536,7.95326782216434,0.662772318513695,2667.087646484375,8.451471328735352,0.25175994634628296,0.12245169281959534,0.005517792887985706,0.006008199416100979,derivative for aten::_scaled_dot_product_efficient_attention_backward is not implemented,1.6937086582183838,214.5469000339508
text,char_lm,char_transformer,41,2940904,0.00022237996258118905,7.394470690865849e-05,0.1,adamw,12,64,80000,12000,12,cuda,0.025032563911543952,0.9935138888888889,0.02417852227555381,0.9939288194444444,0.016162328732510407,0.9950154622395834,0.02417852227555381,0.9939288194444444,0.9958248138427734,0.013873572461307049,0.9944455027580261,0.004120538476854563,0.001312628504820168,28.73578643798828,0.9965277910232544,0.009614968672394753,5.45509046513183,0.4545908720943192,3.653200149536133,0.9861434102058411,156.53997802734375,49052.5546875,4.04848051071167,0.1981644332408905,37.86458206176758,0.25018438696861267,0.24188442528247833,0.04695180058479309,18.599685668945312,0.007525114808231592,2.980408498842735e-05,0.023100366815924644,0.005231000948697329,4.416050969606736,1.8860769271850586,6.5934501258488085,0.5494541771540674,3793643.0,9.478869438171387,0.12303581833839417,0.08923317492008209,0.0025466885417699814,0.0034993942826986313,derivative for aten::_scaled_dot_product_efficient_attention_backward is not implemented,-1.0035121440887451,229.87319803237915
text,char_lm,char_transformer,42,9639131,0.000702141043869425,0.0002664685931237354,0.2,adamw,12,64,80000,12000,12,cuda,0.025814547419548035,0.9935911458333333,0.024720223466555277,0.9939088541666666,0.014786450347552696,0.9954833984375,0.024720223466555277,0.9939088541666666,0.9958572387695312,0.013722230680286884,0.9946854710578918,0.003948010504245758,0.001967428484931588,35.28678512573242,0.9965277910232544,0.009886272251605988,4.11734469697031,0.34311205808085915,4.0609540939331055,0.9911221861839294,167.8754425048828,61798.16796875,4.27455472946167,0.2125113159418106,68.6973876953125,0.45331135392189026,0.40921643376350403,0.03141464293003082,9.178540229797363,0.007744313217699528,1.4707667105540168e-05,0.00968240201473236,0.0023048031143844128,4.200967080486376,1.7480674982070923,5.743492032043806,0.47862433600365045,52252076.0,8.81113052368164,0.07658978551626205,0.06177707016468048,0.0016328180208802223,0.002272002398967743,derivative for aten::_scaled_dot_product_efficient_attention_backward is not implemented,0.2537423372268677,229.68513989448547
text,char_lm,char_transformer,43,1191119,0.00021183404107086317,4.23276529164172e-05,0.0,adamw,12,64,80000,12000,12,cuda,0.045336866597334546,0.9873324652777777,0.045056488745742376,0.9879887152777778,0.013891138136386871,0.9958902994791666,0.045056488745742376,0.9879887152777778,0.9961483478546143,0.013981605879962444,0.9951227903366089,0.004222055431455374,0.002053165342658758,26.069976806640625,0.9956597089767456,0.010699036531150341,7.832797263093596,0.6527331052577997,3.5560920238494873,0.9651074409484863,156.9166259765625,48888.73828125,4.142898082733154,0.19864119589328766,33.47573471069336,0.21847137808799744,0.21333453059196472,0.07072894275188446,31.73494529724121,0.005111269187182188,5.085198790766299e-05,0.052692487835884094,0.023499272763729095,2.242302915644783,1.5965473651885986,4.935961262054599,0.4113301051712166,117305.921875,9.53305721282959,0.17066319286823273,0.1535140722990036,0.0037091970443725586,0.004737742245197296,derivative for aten::_scaled_dot_product_efficient_attention_backward is not implemented,-0.02243604138493538,214.9698555469513
text,char_lm,char_transformer,44,7027011,0.0022160558967151325,4.1364165648914135e-06,0.2,adamw,12,64,80000,12000,12,cuda,0.02557018797265159,0.9934036458333333,0.025429011212454902,0.9937864583333333,0.016228599629054468,0.9948933919270834,0.025429011212454902,0.9937864583333333,0.995269238948822,0.016445090994238853,0.9941684007644653,0.004232870414853096,0.002329874550923705,49.474517822265625,0.9965277910232544,0.01127385813742876,3.9874962440839674,0.33229135367366397,4.198380947113037,0.9944852590560913,232.8540496826172,122218.046875,5.487817287445068,0.2947637736797333,176.28103637695312,1.1686081886291504,0.7570452094078064,0.011790798977017403,2.4296815395355225,0.0022987155243754387,3.893314897140954e-06,0.0014794296585023403,0.00032676616683602333,4.527487249673726,1.9713479280471802,7.180349110897257,0.5983624259081047,32687.484375,9.641622543334961,0.033302146941423416,0.019245700910687447,0.0005961637943983078,0.001398494467139244,derivative for aten::_scaled_dot_product_efficient_attention_backward is not implemented,-0.09968703985214233,231.42181086540222
text,char_lm,char_transformer,45,306979,0.0004289759028993573,8.042525572931366e-05,0.0,adamw,12,64,80000,12000,12,cuda,0.032500528070661755,0.9910442708333334,0.03615065387222502,0.9903220486111111,0.011701598996296525,0.996337890625,0.03615065387222502,0.9903220486111111,0.9967911839485168,0.011116820387542248,0.9960172772407532,0.003071857849135995,0.0014264886267483234,29.40972328186035,0.9965277910232544,0.007423351984471083,8.55792061675712,0.7131600513964266,4.15859317779541,0.9740878343582153,159.74452209472656,54996.9609375,3.942103147506714,0.20221969485282898,47.49582290649414,0.3141692280769348,0.29732364416122437,0.04752442240715027,19.224285125732422,0.006992656271904707,3.0804942070972174e-05,0.023169826716184616,0.008016075007617474,2.8904203979224863,1.5933138132095337,4.920025952655065,0.4100021627212554,103854.390625,9.25861930847168,0.10770934820175171,0.10755706578493118,0.0025711250491440296,0.003650547470897436,derivative for aten::_scaled_dot_product_efficient_attention_backward is not implemented,1.8912737369537354,215.6154363155365
text,char_lm,char_transformer,46,8071744,0.0021513258318513733,3.326921439030445e-05,0.1,adamw,12,64,80000,12000,12,cuda,0.02452317539188597,0.9937317708333333,0.02399081720908483,0.9939835069444445,0.015333347798635563,0.99505615234375,0.02399081720908483,0.9939835069444445,0.9956943988800049,0.01402814220637083,0.9942848682403564,0.004278978798538446,0.0021649629343301058,48.68803787231445,0.9956597089767456,0.010157031007111073,4.20826522452116,0.35068876871009663,4.425015926361084,0.9946196675300598,229.15866088867188,119194.21875,4.358034133911133,0.2900857925415039,169.24658203125,1.1199837923049927,0.7385563254356384,0.01696649007499218,4.000226020812988,0.0014374015154317021,6.409950856323121e-06,0.0029853680171072483,0.0013110061408951879,2.277157918414941,1.6915682554244995,5.427985482206095,0.4523321235171746,29331.6875,9.370841979980469,0.04239815101027489,0.03446397930383682,0.0008782492950558662,0.0023564929142594337,derivative for aten::_scaled_dot_product_efficient_attention_backward is not implemented,-0.27156034111976624,229.6359179019928
text,char_lm,char_transformer,47,5432163,8.39117905671445e-05,3.036836820191087e-05,0.2,adamw,12,64,80000,12000,12,cuda,0.028240998208522796,0.9925651041666667,0.025388769745826722,0.9933072916666666,0.020059189448753994,0.9941202799479166,0.025388769745826722,0.9933072916666666,0.9944902062416077,0.01970496028661728,0.9931263327598572,0.005615087691694498,0.002892321441322565,28.83669662475586,0.9947916865348816,0.01487821340560913,5.02236890205793,0.4185307418381608,3.5879664421081543,0.9903497695922852,154.3833770751953,45803.73828125,4.2061309814453125,0.19543585181236267,31.182443618774414,0.20619522035121918,0.2019805759191513,0.054906781762838364,22.469093322753906,0.0059768822975456715,3.600441414164379e-05,0.03327620029449463,0.00890972651541233,3.734817250922076,1.9423527717590332,6.975141214063667,0.5812617678386389,10540.34765625,10.037784576416016,0.15643687546253204,0.09382811188697815,0.0029082298278808594,0.0040551479905843735,derivative for aten::_scaled_dot_product_efficient_attention_backward is not implemented,0.9972031712532043,229.61174368858337
text,char_lm,char_transformer,48,7319921,3.948457503885052e-05,0.0005020043471470255,0.2,adamw,12,64,80000,12000,12,cuda,0.04541901699701945,0.987171875,0.027592163503170012,0.9927690972222222,0.022450244519859552,0.9933878580729166,0.027592163503170012,0.9927690972222222,0.9932674765586853,0.024767030030488968,0.991906464099884,0.006550541613250971,0.0036319252103567123,25.990198135375977,0.9947916865348816,0.017773054540157318,5.359268474707902,0.4466057062256585,3.5226993560791016,0.9918171763420105,153.07225036621094,45246.2109375,3.8416173458099365,0.19377589225769043,27.98180389404297,0.18577677011489868,0.1828012764453888,0.05477907136082649,20.953744888305664,0.006306859198957682,3.3576223358977586e-05,0.030111197382211685,0.005969346966594458,5.04430342978471,2.1245992183685303,8.369544612838345,0.697462051069862,42.04576110839844,9.034568786621094,0.16501450538635254,0.05367874354124069,0.002890145406126976,0.0036817844957113266,derivative for aten::_scaled_dot_product_efficient_attention_backward is not implemented,0.04297434911131859,229.64246606826782
text,char_lm,char_transformer,49,1591528,0.0002131469190136225,0.00021200871251665415,0.0,adamw,12,64,80000,12000,12,cuda,0.038530860099527574,0.9898255208333333,0.03665229665570789,0.9907847222222222,0.013830181211233139,0.99560546875,0.03665229665570789,0.9907847222222222,0.9963746666908264,0.012784603051841259,0.9955500364303589,0.0030460190027952194,0.001390438643284142,26.38155746459961,0.9973958134651184,0.00782095082104206,8.20497744814167,0.6837481206784726,4.4412922859191895,0.9778465628623962,155.11854553222656,48829.046875,4.1244797706604,0.19636501371860504,34.067073822021484,0.22520597279071808,0.21961960196495056,0.05732007697224617,26.054733276367188,0.005604280158877373,4.175003050477244e-05,0.03373043239116669,0.012735620141029358,2.6485111847715577,1.6730810403823853,5.328558755562647,0.44404656296355394,194007.59375,9.26617431640625,0.1405850052833557,0.11817909777164459,0.0032203001901507378,0.004307067021727562,derivative for aten::_scaled_dot_product_efficient_attention_backward is not implemented,-0.26736611127853394,214.49018931388855
text,char_lm,char_transformer,50,5447906,3.178918316605227e-05,3.028175923813432e-05,0.1,adamw,12,64,80000,12000,12,cuda,0.08187441613939073,0.9795685763888888,0.03329642202456792,0.9910946180555555,0.023550196550786495,0.9933675130208334,0.03329642202456792,0.9910946180555555,0.9931358695030212,0.025349009782075882,0.99156254529953,0.006945783272385597,0.002240243135020137,24.286218643188477,0.9939236044883728,0.0181107297539711,6.2328243190344095,0.5194020265862008,3.4424455165863037,0.9875521063804626,153.45619201660156,45250.9921875,4.663687229156494,0.19426174461841583,26.046581268310547,0.1723305881023407,0.16973300278186798,0.06475750356912613,29.13343620300293,0.005176331382244825,4.6683337131980807e-05,0.044610969722270966,0.00779001833871007,5.726683529724694,2.2163054943084717,9.173377620901576,0.7644481350751313,33.93406295776367,9.63803482055664,0.20402783155441284,0.05462242662906647,0.0034221839159727097,0.0043051037937402725,derivative for aten::_scaled_dot_product_efficient_attention_backward is not implemented,-0.4609276354312897,230.10298442840576
text,char_lm,char_transformer,51,6301877,0.001345352727999079,0.0009692987684517513,0.05,adamw,12,64,80000,12000,12,cuda,0.02475662594371372,0.9937986111111111,0.02497046728928884,0.9940373263888889,0.013260166005541882,0.9957071940104166,0.02497046728928884,0.9940373263888889,0.9965081810951233,0.012414817698299885,0.9955885410308838,0.0037893797270953655,0.0019328960916027427,36.54099655151367,0.9965277910232544,0.010181880556046963,5.317955322420025,0.44316294353500213,3.8463001251220703,0.9928460717201233,186.79092407226562,86627.59375,3.921870470046997,0.23645401000976562,110.5434341430664,0.7339233160018921,0.5918030142784119,0.017464058473706245,4.631834983825684,0.003376161679625511,7.422039288940141e-06,0.003425485221669078,0.000978435855358839,3.500980876167716,1.7582142353057861,5.802066798839829,0.4835055665699857,13050465.0,10.231345176696777,0.04471178352832794,0.03776693344116211,0.0008905613794922829,0.001744958572089672,derivative for aten::_scaled_dot_product_efficient_attention_backward is not implemented,1.3450390100479126,230.01280093193054
